SN,Age,Knowledge about increment of plastic pollution (Knowledge),Knowdge_PP,Red_Own_bag,Red_Own_bottle,Tell_not_throw,Desposing_P_correctly,Follow_3R,Avoid_single_use,Follow the measures to reduce platic pollution (Practice),Practice_PPR,Perception of plastic pollution in 10 years (Perception),Perception_PP10,Knowledge about microplastic (Knowledge_MP),Knowledge_MPP,Know_PP_smaller,Microfibers_wash,Microbeads_cosmetic,Fishing nets,Thinking MPP-not good,Thinking MPP - should reduce
1,16,Yes,3,1,1,1,1,1,1,Yes,3,Increase,3,Yes,3,1,2,1,1,0,0
2,18,Yes,3,0,1,0,0,0,1,Yes,3,Increase,3,Maybe,1,1,0,0,1,0,0
3,17,Yes,3,0,1,0,0,1,0,No,2,Increase,3,Yes,3,1,2,0,0,1,1
4,17,Yes,3,1,1,0,0,1,1,Yes,3,Increase,3,Yes,3,0,2,0,1,0,0
5,15,Yes,3,1,0,0,1,0,0,Yes,3,Decrease,1,Maybe,1,0,0,0,0,1,1
6,17,Yes,3,1,1,0,1,0,1,Maybe,1,Increase,3,Yes,3,0,0,0,0,1,0
7,17,Yes,3,1,0,1,0,0,0,Maybe,1,Neutral,2,Yes,3,0,0,0,0,0,0
8,18,Yes,3,0,0,0,1,0,0,Yes,3,Increase,3,Yes,3,0,0,0,0,1,1
9,17,Yes,3,1,1,1,0,1,1,Maybe,1,Increase,3,Yes,3,1,2,1,0,0,0
10,17,Yes,3,0,0,0,0,0,0,Yes,3,Increase,3,Yes,3,0,0,0,0,0,1
11,17,No,2,1,1,1,1,1,1,Maybe,1,Decrease,1,No,2,0,0,0,0,0,0
12,19,Yes,3,1,1,1,1,1,1,Maybe,1,Increase,3,Yes,3,0,0,0,0,1,0
13,19,Yes,3,1,0,0,0,1,0,Yes,3,Increase,3,Yes,3,0,0,0,0,1,1
14,17,Yes,3,1,1,1,1,1,1,Yes,3,Increase,3,Yes,3,1,2,1,1,0,0
15,14,No,2,0,0,1,0,0,0,Yes,3,Increase,3,No,2,0,0,0,0,0,0
16,17,Yes,3,0,0,1,1,1,0,Yes,3,Neutral,2,Yes,3,0,0,0,0,0,0
17,18,Yes,3,0,0,0,1,1,0,Maybe,1,Increase,3,Maybe,1,1,0,0,1,1,1
18,17,Yes,3,1,1,1,1,1,1,Maybe,1,Neutral,2,Maybe,1,1,2,1,1,0,0
19,17,Yes,3,0,1,0,0,0,0,Maybe,1,Increase,3,Maybe,1,0,2,1,0,0,0
20,18,Yes,3,1,0,0,1,1,1,Maybe,1,Increase,3,No,2,0,0,0,0,0,1
21,18,Yes,3,1,0,0,1,0,0,Maybe,1,Neutral,2,Maybe,1,0,0,0,0,1,0
22,17,Yes,3,1,1,0,0,1,1,Maybe,1,Increase,3,Yes,3,1,2,1,1,0,0
23,17,Maybe,1,1,1,0,0,0,0,Maybe,1,Increase,3,Yes,3,0,0,1,1,0,0
24,16,Yes,3,0,0,1,1,0,1,Yes,3,Increase,3,Yes,3,1,1,0,0,1,0
25,18,Yes,3,1,0,0,1,0,1,Yes,3,Increase,3,Maybe,1,0,0,0,0,0,1
26,17,Yes,3,0,0,0,0,0,1,No,2,Increase,3,Yes,3,0,0,1,0,1,0
27,17,Yes,3,1,1,0,0,1,0,Yes,3,Increase,3,Yes,3,0,1,1,1,0,1
28,15,Yes,3,1,0,1,0,1,1,Yes,3,Decrease,1,Maybe,1,0,0,0,1,1,0
29,17,Yes,3,1,1,1,0,1,1,Maybe,1,Increase,3,Yes,3,0,0,1,0,1,1
30,17,Yes,3,1,1,1,0,1,0,Maybe,1,Neutral,2,Yes,3,1,0,0,0,0,1
31,18,Yes,3,1,1,0,0,1,0,Yes,3,Increase,3,Yes,3,1,0,0,0,0,0
32,17,Yes,3,0,0,1,0,0,1,Maybe,1,Increase,3,Yes,3,1,0,1,0,0,0
33,17,Yes,3,1,1,0,0,1,1,Yes,3,Increase,3,Yes,3,0,0,1,1,0,0
34,17,No,2,1,0,1,0,1,0,Maybe,1,Decrease,1,No,2,0,1,1,1,0,0
35,19,Yes,3,0,1,0,0,0,1,Maybe,1,Increase,3,Yes,3,1,1,1,1,0,0
36,19,Yes,3,1,0,1,0,1,1,Yes,3,Increase,3,Yes,3,1,0,0,1,0,0
37,17,Yes,3,0,0,1,0,0,1,Yes,3,Increase,3,Yes,3,1,1,1,1,1,1
38,14,No,2,1,1,0,0,1,0,Yes,3,Increase,3,No,2,1,0,1,0,1,1
39,17,Yes,3,0,0,0,0,0,1,Yes,3,Neutral,2,Yes,3,0,1,1,1,0,1
40,18,Yes,3,0,0,0,0,1,0,Maybe,1,Increase,3,Maybe,1,1,1,0,1,1,1
41,17,Yes,3,0,1,1,1,0,1,Maybe,1,Neutral,2,Maybe,1,0,0,1,0,1,0
42,17,Yes,3,1,0,0,0,0,1,Maybe,1,Increase,3,Maybe,1,1,1,0,0,1,1
43,18,Yes,3,0,0,0,1,1,0,Maybe,1,Increase,3,No,2,0,0,1,0,0,1
44,18,Yes,3,1,1,1,1,0,0,Maybe,1,Neutral,2,Maybe,1,0,0,0,0,1,1
45,17,Yes,3,0,1,1,1,1,1,Maybe,1,Increase,3,Yes,3,0,0,1,1,0,1
46,17,Maybe,1,1,1,0,0,0,1,Maybe,1,Increase,3,Yes,3,1,0,0,0,1,0
47,18,Yes,3,0,0,1,1,0,1,Maybe,1,Neutral,2,Maybe,1,0,1,0,0,1,1
48,17,Yes,3,0,0,0,1,1,1,Maybe,1,Increase,3,Yes,3,1,1,1,1,1,0
49,17,Maybe,1,0,1,0,0,1,0,Maybe,1,Increase,3,Yes,3,1,1,1,0,1,1
